file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,27012019,1846,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x113575f30>
"
"
Crab_ID,Crab_Position,Crab_frame
Crab_ID,Crab_axis_1,Crab_axis_2
"GP010016_fast.mp4_crab_(226, 135)",25,23
"GP010016_fast.mp4_crab_(226, 135)",19,10
"GP010016_fast.mp4_crab_(226, 135)",24,23
"GP010016_fast.mp4_crab_(226, 135)",24,23
"GP010016_fast.mp4_crab_(226, 135)",25,23
"GP010016_fast.mp4_crab_(226, 135)",20,15
"GP010016_fast.mp4_crab_(226, 135)",20,15
"GP010016_fast.mp4_crab_(226, 135)",24,23
"GP010016_fast.mp4_crab_(226, 135)",20,17
"GP010016_fast.mp4_crab_(226, 135)",20,17
"GP010016_fast.mp4_crab_(226, 135)",20,14
"GP010016_fast.mp4_crab_(226, 135)",20,17
"GP010016_fast.mp4_crab_(226, 135)",20,14
"GP010016_fast.mp4_crab_(226, 135)",19,17
"GP010016_fast.mp4_crab_(226, 135)",19,17
"GP010016_fast.mp4_crab_(226, 135)",19,14
"GP010016_fast.mp4_crab_(226, 135)",24,23
"GP010016_fast.mp4_crab_(226, 135)",24,23
"GP010016_fast.mp4_crab_(226, 135)",10,9
"GP010016_fast.mp4_crab_(226, 135)",19,12
"GP010016_fast.mp4_crab_(226, 135)",20,17
"GP010016_fast.mp4_crab_(226, 135)",25,23
"GP010016_fast.mp4_crab_(226, 135)",18,17
"GP010016_fast.mp4_crab_(226, 135)",25,23
"GP010016_fast.mp4_crab_(226, 135)",17,15
"GP010016_fast.mp4_crab_(226, 135)",15,16
"GP010016_fast.mp4_crab_(226, 135)",25,20
"GP010016_fast.mp4_crab_(226, 135)",25,23
"GP010016_fast.mp4_crab_(226, 135)",25,20
"GP010016_fast.mp4_crab_(226, 135)",25,18
"GP010016_fast.mp4_crab_(226, 135)",25,18
"GP010016_fast.mp4_crab_(226, 135)",25,20
"GP010016_fast.mp4_crab_(226, 135)",28,16
"GP010016_fast.mp4_crab_(226, 135)",29,22
