file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance
GP010016_fast.mp4,15112018,1349,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_(292, 205)","(277, 215)",104
"GP010016_fast.mp4_(292, 205)","(277, 215)",105
"GP010016_fast.mp4_(292, 205)","(277, 215)",106
"GP010016_fast.mp4_(292, 205)","(276, 216)",107
"GP010016_fast.mp4_(292, 205)","(274, 216)",108
"GP010016_fast.mp4_(292, 205)","(274, 216)",109
"GP010016_fast.mp4_(292, 205)","(273, 216)",110
"GP010016_fast.mp4_(292, 205)","(273, 217)",111
"GP010016_fast.mp4_(292, 205)","(273, 217)",112
"GP010016_fast.mp4_(292, 205)","(273, 218)",113
"GP010016_fast.mp4_(292, 205)","(273, 218)",114
"GP010016_fast.mp4_(292, 205)","(274, 218)",115
"GP010016_fast.mp4_(292, 205)","(273, 218)",116
"GP010016_fast.mp4_(292, 205)","(274, 218)",117
"GP010016_fast.mp4_(292, 205)","(274, 218)",118
"GP010016_fast.mp4_(292, 205)","(274, 218)",119
"GP010016_fast.mp4_(292, 205)","(274, 218)",120
"GP010016_fast.mp4_(292, 205)","(274, 218)",121
"GP010016_fast.mp4_(292, 205)","(274, 218)",122
"GP010016_fast.mp4_(292, 205)","(274, 218)",123
"GP010016_fast.mp4_(292, 205)","(274, 218)",124
"GP010016_fast.mp4_(292, 205)","(274, 218)",125
"GP010016_fast.mp4_(292, 205)","(274, 218)",126
"GP010016_fast.mp4_(292, 205)","(274, 219)",127
"GP010016_fast.mp4_(292, 205)","(274, 219)",128
"GP010016_fast.mp4_(292, 205)","(274, 219)",129
"GP010016_fast.mp4_(292, 205)","(274, 218)",130
"GP010016_fast.mp4_(292, 205)","(274, 218)",131
"GP010016_fast.mp4_(292, 205)","(274, 218)",132
"GP010016_fast.mp4_(292, 205)","(274, 218)",133
"GP010016_fast.mp4_(292, 205)","(274, 218)",134
"GP010016_fast.mp4_(292, 205)","(274, 218)",135
"GP010016_fast.mp4_(292, 205)","(274, 219)",136
"GP010016_fast.mp4_(292, 205)","(273, 219)",137
"GP010016_fast.mp4_(292, 205)","(272, 219)",138
"GP010016_fast.mp4_(292, 205)","(272, 220)",139
"GP010016_fast.mp4_(292, 205)","(272, 220)",140
"GP010016_fast.mp4_(292, 205)","(272, 220)",141
"GP010016_fast.mp4_(292, 205)","(272, 220)",142
"GP010016_fast.mp4_(292, 205)","(272, 220)",143
"GP010016_fast.mp4_(292, 205)","(272, 220)",144
"GP010016_fast.mp4_(292, 205)","(272, 220)",145
"GP010016_fast.mp4_(292, 205)","(272, 220)",146
"GP010016_fast.mp4_(292, 205)","(272, 220)",147
"GP010016_fast.mp4_(292, 205)","(272, 220)",148
"GP010016_fast.mp4_(292, 205)","(272, 220)",149
"GP010016_fast.mp4_(292, 205)","(272, 220)",150
"GP010016_fast.mp4_(292, 205)","(272, 220)",151
"GP010016_fast.mp4_(292, 205)","(272, 220)",152
"GP010016_fast.mp4_(292, 205)","(272, 220)",153
"GP010016_fast.mp4_(292, 205)","(272, 220)",154
"GP010016_fast.mp4_(292, 205)","(272, 220)",155
"GP010016_fast.mp4_(292, 205)","(272, 220)",156
"GP010016_fast.mp4_(292, 205)","(272, 220)",157
"GP010016_fast.mp4_(292, 205)","(272, 220)",158
"GP010016_fast.mp4_(292, 205)","(272, 220)",159
"GP010016_fast.mp4_(292, 205)","(272, 220)",160
"GP010016_fast.mp4_(292, 205)","(273, 220)",161
"GP010016_fast.mp4_(292, 205)","(272, 220)",162
"GP010016_fast.mp4_(292, 205)","(273, 220)",163
"GP010016_fast.mp4_(292, 205)","(273, 220)",164
"GP010016_fast.mp4_(292, 205)","(273, 220)",165
"GP010016_fast.mp4_(292, 205)","(273, 220)",166
"GP010016_fast.mp4_(292, 205)","(273, 220)",167
"GP010016_fast.mp4_(292, 205)","(273, 220)",168
"GP010016_fast.mp4_(292, 205)","(272, 220)",169
"GP010016_fast.mp4_(292, 205)","(272, 220)",170
"GP010016_fast.mp4_(292, 205)","(272, 220)",171
"GP010016_fast.mp4_(292, 205)","(272, 220)",172
"GP010016_fast.mp4_(292, 205)","(272, 221)",173
"GP010016_fast.mp4_(292, 205)","(272, 221)",174
"GP010016_fast.mp4_(292, 205)","(272, 220)",175
"GP010016_fast.mp4_(292, 205)","(272, 220)",176
"GP010016_fast.mp4_(292, 205)","(272, 220)",177
"GP010016_fast.mp4_(292, 205)","(272, 221)",178
"GP010016_fast.mp4_(292, 205)","(272, 221)",179
"GP010016_fast.mp4_(292, 205)","(272, 221)",180
"GP010016_fast.mp4_(292, 205)","(272, 221)",181
"GP010016_fast.mp4_(292, 205)","(272, 221)",182
"GP010016_fast.mp4_(292, 205)","(272, 221)",183
"GP010016_fast.mp4_(292, 205)","(271, 221)",184
"GP010016_fast.mp4_(292, 205)","(271, 221)",185
"GP010016_fast.mp4_(292, 205)","(271, 221)",186
"GP010016_fast.mp4_(292, 205)","(271, 221)",187
"GP010016_fast.mp4_(292, 205)","(271, 221)",188
"GP010016_fast.mp4_(292, 205)","(271, 221)",189
"GP010016_fast.mp4_(292, 205)","(271, 222)",190
"GP010016_fast.mp4_(292, 205)","(271, 222)",191
"GP010016_fast.mp4_(292, 205)","(271, 222)",192
"GP010016_fast.mp4_(292, 205)","(271, 222)",193
"GP010016_fast.mp4_(292, 205)","(271, 222)",194
"GP010016_fast.mp4_(292, 205)","(271, 222)",195
"GP010016_fast.mp4_(292, 205)","(271, 222)",196
"GP010016_fast.mp4_(292, 205)","(271, 222)",197
"GP010016_fast.mp4_(292, 205)","(271, 222)",198
"GP010016_fast.mp4_(292, 205)","(271, 222)",199
"GP010016_fast.mp4_(292, 205)","(271, 222)",200
"GP010016_fast.mp4_(292, 205)","(271, 222)",201
"GP010016_fast.mp4_(292, 205)","(271, 222)",202
"GP010016_fast.mp4_(292, 205)","(271, 222)",203
"GP010016_fast.mp4_(292, 205)","(271, 222)",204
"GP010016_fast.mp4_(292, 205)","(271, 222)",205
"GP010016_fast.mp4_(292, 205)","(271, 222)",206
"GP010016_fast.mp4_(292, 205)","(271, 222)",207
"GP010016_fast.mp4_(292, 205)","(271, 222)",208
"GP010016_fast.mp4_(292, 205)","(271, 222)",209
"GP010016_fast.mp4_(292, 205)","(271, 222)",210
"GP010016_fast.mp4_(292, 205)","(271, 222)",211
"GP010016_fast.mp4_(292, 205)","(271, 222)",212
"GP010016_fast.mp4_(292, 205)","(271, 222)",213
"GP010016_fast.mp4_(292, 205)","(271, 222)",214
"GP010016_fast.mp4_(292, 205)","(271, 222)",215
"GP010016_fast.mp4_(292, 205)","(271, 222)",216
"GP010016_fast.mp4_(292, 205)","(270, 222)",217
"GP010016_fast.mp4_(292, 205)","(270, 222)",218
"GP010016_fast.mp4_(292, 205)","(270, 222)",219
"GP010016_fast.mp4_(292, 205)","(270, 222)",220
"GP010016_fast.mp4_(292, 205)","(270, 222)",221
"GP010016_fast.mp4_(292, 205)","(270, 222)",222
"GP010016_fast.mp4_(292, 205)","(270, 222)",223
