file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,2338,1928,23.97602398,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.107758621,<TrackerMIL 0x10e996f30>
"
",,,,,,,,,,,,
Crab_ID,Crab_Position,Crab_frame,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(138, 323)",68,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(152, 314)",69,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(151, 316)",70,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(137, 323)",71,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(152, 313)",72,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(151, 313)",73,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(138, 319)",74,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(146, 316)",75,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(147, 315)",76,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(145, 314)",77,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(145, 316)",78,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(145, 314)",79,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(147, 315)",80,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(164, 324)",81,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(165, 320)",82,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(165, 319)",83,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(165, 319)",84,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(163, 315)",85,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(154, 314)",86,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(164, 323)",87,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(165, 319)",88,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(165, 319)",89,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(163, 315)",90,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(165, 319)",91,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(165, 319)",92,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(165, 319)",93,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(165, 319)",94,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(167, 319)",95,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(164, 319)",96,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(165, 319)",97,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(158, 323)",98,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(164, 324)",99,,,,,,,,,,
"GP010016_fast.mp4_uca_cl03(163, 335)","(158, 318)",100,,,,,,,,,,
