file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1809,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x1118fff30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_n00(382, 12)","(409, 27)",88
"GP010016_fast.mp4_uca_n00(382, 12)","(408, 26)",89
"GP010016_fast.mp4_uca_n00(382, 12)","(409, 25)",90
"GP010016_fast.mp4_uca_n00(382, 12)","(411, 24)",91
"GP010016_fast.mp4_uca_n00(382, 12)","(411, 25)",92
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 25)",93
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 25)",94
"GP010016_fast.mp4_uca_n00(382, 12)","(408, 26)",95
"GP010016_fast.mp4_uca_n00(382, 12)","(406, 24)",96
"GP010016_fast.mp4_uca_n00(382, 12)","(407, 25)",97
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 23)",98
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 24)",99
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 23)",100
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 25)",101
"GP010016_fast.mp4_uca_n00(382, 12)","(400, 25)",102
"GP010016_fast.mp4_uca_n00(382, 12)","(407, 26)",103
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 26)",104
"GP010016_fast.mp4_uca_n00(382, 12)","(404, 28)",105
"GP010016_fast.mp4_uca_n00(382, 12)","(404, 27)",106
"GP010016_fast.mp4_uca_n00(382, 12)","(406, 28)",107
"GP010016_fast.mp4_uca_n00(382, 12)","(406, 26)",108
"GP010016_fast.mp4_uca_n00(382, 12)","(404, 26)",109
"GP010016_fast.mp4_uca_n00(382, 12)","(404, 25)",110
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 27)",111
"GP010016_fast.mp4_uca_n00(382, 12)","(404, 27)",112
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 26)",113
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 27)",114
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 27)",115
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 27)",116
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 27)",117
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 27)",118
"GP010016_fast.mp4_uca_n00(382, 12)","(406, 27)",119
"GP010016_fast.mp4_uca_n00(382, 12)","(406, 27)",120
"GP010016_fast.mp4_uca_n00(382, 12)","(413, 27)",121
"GP010016_fast.mp4_uca_n00(382, 12)","(406, 27)",122
"GP010016_fast.mp4_uca_n00(382, 12)","(406, 27)",123
"GP010016_fast.mp4_uca_n00(382, 12)","(406, 27)",124
"GP010016_fast.mp4_uca_n00(382, 12)","(406, 27)",125
"GP010016_fast.mp4_uca_n00(382, 12)","(406, 27)",126
"GP010016_fast.mp4_uca_n00(382, 12)","(407, 27)",127
"GP010016_fast.mp4_uca_n00(382, 12)","(408, 27)",128
"GP010016_fast.mp4_uca_n00(382, 12)","(411, 28)",129
"GP010016_fast.mp4_uca_n00(382, 12)","(409, 28)",130
"GP010016_fast.mp4_uca_n00(382, 12)","(413, 27)",131
"GP010016_fast.mp4_uca_n00(382, 12)","(413, 29)",132
"GP010016_fast.mp4_uca_n00(382, 12)","(409, 31)",133
"GP010016_fast.mp4_uca_n00(382, 12)","(404, 29)",134
"GP010016_fast.mp4_uca_n00(382, 12)","(411, 37)",135
"GP010016_fast.mp4_uca_n00(382, 12)","(406, 30)",136
"GP010016_fast.mp4_uca_n00(382, 12)","(409, 27)",137
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 32)",138
"GP010016_fast.mp4_uca_n00(382, 12)","(406, 34)",139
"GP010016_fast.mp4_uca_n00(382, 12)","(406, 35)",140
"GP010016_fast.mp4_uca_n00(382, 12)","(402, 29)",141
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 30)",142
"GP010016_fast.mp4_uca_n00(382, 12)","(404, 29)",143
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 30)",144
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 31)",145
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 31)",146
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 31)",147
"GP010016_fast.mp4_uca_n00(382, 12)","(404, 31)",148
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 31)",149
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 31)",150
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 31)",151
"GP010016_fast.mp4_uca_n00(382, 12)","(404, 30)",152
"GP010016_fast.mp4_uca_n00(382, 12)","(403, 29)",153
"GP010016_fast.mp4_uca_n00(382, 12)","(403, 30)",154
"GP010016_fast.mp4_uca_n00(382, 12)","(404, 30)",155
"GP010016_fast.mp4_uca_n00(382, 12)","(403, 28)",156
"GP010016_fast.mp4_uca_n00(382, 12)","(402, 27)",157
"GP010016_fast.mp4_uca_n00(382, 12)","(402, 26)",158
"GP010016_fast.mp4_uca_n00(382, 12)","(402, 26)",159
"GP010016_fast.mp4_uca_n00(382, 12)","(406, 28)",160
"GP010016_fast.mp4_uca_n00(382, 12)","(404, 28)",161
"GP010016_fast.mp4_uca_n00(382, 12)","(405, 28)",162
"GP010016_fast.mp4_uca_n00(382, 12)","(404, 26)",163
"GP010016_fast.mp4_uca_n00(382, 12)","(404, 26)",164
"GP010016_fast.mp4_uca_n00(382, 12)","(403, 25)",165
"GP010016_fast.mp4_uca_n00(382, 12)","(404, 23)",166
"GP010016_fast.mp4_uca_n00(382, 12)","(401, 23)",167
"GP010016_fast.mp4_uca_n00(382, 12)","(392, 27)",168
"GP010016_fast.mp4_uca_n00(382, 12)","(383, 25)",169
"GP010016_fast.mp4_uca_n00(382, 12)","(384, 28)",170
"GP010016_fast.mp4_uca_n00(382, 12)","(388, 26)",171
"GP010016_fast.mp4_uca_n00(382, 12)","(385, 24)",172
"GP010016_fast.mp4_uca_n00(382, 12)","(387, 27)",173
"GP010016_fast.mp4_uca_n00(382, 12)","(388, 27)",174
"GP010016_fast.mp4_uca_n00(382, 12)","(388, 26)",175
"GP010016_fast.mp4_uca_n00(382, 12)","(388, 27)",176
"GP010016_fast.mp4_uca_n00(382, 12)","(389, 26)",177
"GP010016_fast.mp4_uca_n00(382, 12)","(389, 25)",178
"GP010016_fast.mp4_uca_n00(382, 12)","(389, 25)",179
"GP010016_fast.mp4_uca_n00(382, 12)","(388, 26)",180
"GP010016_fast.mp4_uca_n00(382, 12)","(388, 27)",181
"GP010016_fast.mp4_uca_n00(382, 12)","(384, 26)",182
"GP010016_fast.mp4_uca_n00(382, 12)","(371, 24)",183
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 28)",184
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 26)",185
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 27)",186
"GP010016_fast.mp4_uca_n00(382, 12)","(364, 26)",187
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 26)",188
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 25)",189
"GP010016_fast.mp4_uca_n00(382, 12)","(364, 26)",190
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 27)",191
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 26)",192
"GP010016_fast.mp4_uca_n00(382, 12)","(367, 27)",193
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 25)",194
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 29)",195
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 29)",196
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 28)",197
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 28)",198
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 28)",199
"GP010016_fast.mp4_uca_n00(382, 12)","(367, 26)",200
"GP010016_fast.mp4_uca_n00(382, 12)","(367, 28)",201
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 26)",202
"GP010016_fast.mp4_uca_n00(382, 12)","(365, 26)",203
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 28)",204
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 28)",205
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 28)",206
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 27)",207
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 28)",208
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 27)",209
"GP010016_fast.mp4_uca_n00(382, 12)","(369, 28)",210
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 27)",211
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 28)",212
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 28)",213
"GP010016_fast.mp4_uca_n00(382, 12)","(366, 26)",214
"GP010016_fast.mp4_uca_n00(382, 12)","(368, 28)",215
