file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1824,1928.0,23.976023976023978,239,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10f158f30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_lm01(446, 249)","(425, 286)",85
"GP010016_fast.mp4_uca_lm01(446, 249)","(427, 284)",86
"GP010016_fast.mp4_uca_lm01(446, 249)","(434, 286)",87
"GP010016_fast.mp4_uca_lm01(446, 249)","(432, 284)",88
"GP010016_fast.mp4_uca_lm01(446, 249)","(434, 286)",89
"GP010016_fast.mp4_uca_lm01(446, 249)","(435, 286)",90
"GP010016_fast.mp4_uca_lm01(446, 249)","(435, 285)",91
"GP010016_fast.mp4_uca_lm01(446, 249)","(434, 286)",92
"GP010016_fast.mp4_uca_lm01(446, 249)","(434, 286)",93
"GP010016_fast.mp4_uca_lm01(446, 249)","(433, 284)",94
"GP010016_fast.mp4_uca_lm01(446, 249)","(433, 285)",95
"GP010016_fast.mp4_uca_lm01(446, 249)","(432, 288)",96
"GP010016_fast.mp4_uca_lm01(446, 249)","(435, 286)",97
"GP010016_fast.mp4_uca_lm01(446, 249)","(436, 286)",98
"GP010016_fast.mp4_uca_lm01(446, 249)","(439, 285)",99
"GP010016_fast.mp4_uca_lm01(446, 249)","(437, 288)",100
"GP010016_fast.mp4_uca_lm01(446, 249)","(437, 287)",101
"GP010016_fast.mp4_uca_lm01(446, 249)","(438, 289)",102
"GP010016_fast.mp4_uca_lm01(446, 249)","(439, 287)",103
"GP010016_fast.mp4_uca_lm01(446, 249)","(439, 288)",104
"GP010016_fast.mp4_uca_lm01(446, 249)","(444, 288)",105
"GP010016_fast.mp4_uca_lm01(446, 249)","(442, 287)",106
"GP010016_fast.mp4_uca_lm01(446, 249)","(439, 292)",107
"GP010016_fast.mp4_uca_lm01(446, 249)","(441, 291)",108
"GP010016_fast.mp4_uca_lm01(446, 249)","(443, 289)",109
"GP010016_fast.mp4_uca_lm01(446, 249)","(444, 290)",110
"GP010016_fast.mp4_uca_lm01(446, 249)","(442, 292)",111
"GP010016_fast.mp4_uca_lm01(446, 249)","(439, 296)",112
"GP010016_fast.mp4_uca_lm01(446, 249)","(440, 300)",113
"GP010016_fast.mp4_uca_lm01(446, 249)","(437, 302)",114
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 297)",115
"GP010016_fast.mp4_uca_lm01(446, 249)","(440, 304)",116
"GP010016_fast.mp4_uca_lm01(446, 249)","(441, 308)",117
"GP010016_fast.mp4_uca_lm01(446, 249)","(443, 308)",118
"GP010016_fast.mp4_uca_lm01(446, 249)","(444, 309)",119
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 312)",120
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 313)",121
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 313)",122
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 314)",123
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 313)",124
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 314)",125
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 313)",126
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 314)",127
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 315)",128
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 320)",129
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 322)",130
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 320)",131
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 326)",132
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 325)",133
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 328)",134
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 327)",135
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 327)",136
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 329)",137
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 330)",138
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 327)",139
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 327)",140
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 328)",141
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 328)",142
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 327)",143
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 327)",144
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 327)",145
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 327)",146
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 329)",147
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 328)",148
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 327)",149
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 327)",150
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 326)",151
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 327)",152
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 327)",153
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 327)",154
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 329)",155
"GP010016_fast.mp4_uca_lm01(446, 249)","(445, 329)",156
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 328)",157
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 328)",158
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 327)",159
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 325)",160
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 328)",161
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 326)",162
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 326)",163
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 327)",164
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 326)",165
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 328)",166
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 327)",167
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 326)",168
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 326)",169
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 327)",170
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 331)",171
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 333)",172
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 337)",173
"GP010016_fast.mp4_uca_lm01(446, 249)","(453, 353)",174
"GP010016_fast.mp4_uca_lm01(446, 249)","(453, 343)",175
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 344)",176
"GP010016_fast.mp4_uca_lm01(446, 249)","(453, 344)",177
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 338)",178
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 339)",179
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 338)",180
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 342)",181
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 342)",182
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 342)",183
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 342)",184
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 342)",185
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 342)",186
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 342)",187
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 342)",188
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 340)",189
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 342)",190
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 341)",191
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 343)",192
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 342)",193
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 341)",194
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 343)",195
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 343)",196
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 342)",197
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 343)",198
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 343)",199
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 342)",200
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 343)",201
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 342)",202
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 343)",203
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 344)",204
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 342)",205
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 345)",206
"GP010016_fast.mp4_uca_lm01(446, 249)","(453, 343)",207
"GP010016_fast.mp4_uca_lm01(446, 249)","(453, 342)",208
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 345)",209
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 344)",210
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 345)",211
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 346)",212
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 346)",213
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 346)",214
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 346)",215
"GP010016_fast.mp4_uca_lm01(446, 249)","(453, 343)",216
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 346)",217
"GP010016_fast.mp4_uca_lm01(446, 249)","(452, 344)",218
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 352)",219
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 351)",220
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 355)",221
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 358)",222
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 360)",223
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 360)",224
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 360)",225
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 360)",226
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 362)",227
"GP010016_fast.mp4_uca_lm01(446, 249)","(451, 361)",228
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 360)",229
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 360)",230
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 359)",231
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 359)",232
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 359)",233
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 361)",234
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 360)",235
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 360)",236
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 361)",237
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 361)",238
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 360)",239
"GP010016_fast.mp4_uca_lm01(446, 249)","(447, 360)",240
"GP010016_fast.mp4_uca_lm01(446, 249)","(448, 360)",241
"GP010016_fast.mp4_uca_lm01(446, 249)","(446, 362)",242
"GP010016_fast.mp4_uca_lm01(446, 249)","(449, 360)",243
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 360)",244
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 360)",245
"GP010016_fast.mp4_uca_lm01(446, 249)","(450, 360)",246
