file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1811,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x10f93bf30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_nc00(225, 133)","(199, 105)",85
"GP010016_fast.mp4_uca_nc00(225, 133)","(196, 109)",86
"GP010016_fast.mp4_uca_nc00(225, 133)","(197, 118)",87
"GP010016_fast.mp4_uca_nc00(225, 133)","(202, 110)",88
"GP010016_fast.mp4_uca_nc00(225, 133)","(202, 109)",89
"GP010016_fast.mp4_uca_nc00(225, 133)","(201, 109)",90
"GP010016_fast.mp4_uca_nc00(225, 133)","(198, 109)",91
"GP010016_fast.mp4_uca_nc00(225, 133)","(194, 106)",92
"GP010016_fast.mp4_uca_nc00(225, 133)","(194, 111)",93
"GP010016_fast.mp4_uca_nc00(225, 133)","(191, 105)",94
"GP010016_fast.mp4_uca_nc00(225, 133)","(189, 107)",95
"GP010016_fast.mp4_uca_nc00(225, 133)","(188, 106)",96
"GP010016_fast.mp4_uca_nc00(225, 133)","(190, 109)",97
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 105)",98
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 109)",99
"GP010016_fast.mp4_uca_nc00(225, 133)","(184, 105)",100
"GP010016_fast.mp4_uca_nc00(225, 133)","(187, 107)",101
"GP010016_fast.mp4_uca_nc00(225, 133)","(184, 108)",102
"GP010016_fast.mp4_uca_nc00(225, 133)","(188, 107)",103
"GP010016_fast.mp4_uca_nc00(225, 133)","(188, 106)",104
"GP010016_fast.mp4_uca_nc00(225, 133)","(187, 103)",105
"GP010016_fast.mp4_uca_nc00(225, 133)","(188, 107)",106
"GP010016_fast.mp4_uca_nc00(225, 133)","(189, 109)",107
"GP010016_fast.mp4_uca_nc00(225, 133)","(184, 116)",108
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 114)",109
"GP010016_fast.mp4_uca_nc00(225, 133)","(191, 107)",110
"GP010016_fast.mp4_uca_nc00(225, 133)","(184, 116)",111
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 106)",112
"GP010016_fast.mp4_uca_nc00(225, 133)","(188, 103)",113
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 107)",114
"GP010016_fast.mp4_uca_nc00(225, 133)","(182, 111)",115
"GP010016_fast.mp4_uca_nc00(225, 133)","(184, 106)",116
"GP010016_fast.mp4_uca_nc00(225, 133)","(188, 104)",117
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 116)",118
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 115)",119
"GP010016_fast.mp4_uca_nc00(225, 133)","(182, 114)",120
"GP010016_fast.mp4_uca_nc00(225, 133)","(188, 102)",121
"GP010016_fast.mp4_uca_nc00(225, 133)","(182, 113)",122
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 114)",123
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 115)",124
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 115)",125
"GP010016_fast.mp4_uca_nc00(225, 133)","(187, 114)",126
"GP010016_fast.mp4_uca_nc00(225, 133)","(184, 116)",127
"GP010016_fast.mp4_uca_nc00(225, 133)","(184, 116)",128
"GP010016_fast.mp4_uca_nc00(225, 133)","(184, 116)",129
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 116)",130
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 114)",131
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 114)",132
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 114)",133
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 115)",134
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 113)",135
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 115)",136
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 114)",137
"GP010016_fast.mp4_uca_nc00(225, 133)","(183, 118)",138
"GP010016_fast.mp4_uca_nc00(225, 133)","(184, 115)",139
"GP010016_fast.mp4_uca_nc00(225, 133)","(184, 115)",140
"GP010016_fast.mp4_uca_nc00(225, 133)","(184, 115)",141
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 114)",142
"GP010016_fast.mp4_uca_nc00(225, 133)","(183, 115)",143
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 112)",144
"GP010016_fast.mp4_uca_nc00(225, 133)","(184, 113)",145
"GP010016_fast.mp4_uca_nc00(225, 133)","(184, 113)",146
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 112)",147
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 112)",148
"GP010016_fast.mp4_uca_nc00(225, 133)","(187, 111)",149
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 111)",150
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 112)",151
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 112)",152
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 112)",153
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 112)",154
"GP010016_fast.mp4_uca_nc00(225, 133)","(185, 112)",155
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 112)",156
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 112)",157
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 112)",158
"GP010016_fast.mp4_uca_nc00(225, 133)","(186, 112)",159
