file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1806,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x110d6af30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_nw01(52, 85)","(63, 74)",85
"GP010016_fast.mp4_uca_nw01(52, 85)","(64, 74)",86
"GP010016_fast.mp4_uca_nw01(52, 85)","(63, 71)",87
"GP010016_fast.mp4_uca_nw01(52, 85)","(64, 71)",88
"GP010016_fast.mp4_uca_nw01(52, 85)","(66, 72)",89
"GP010016_fast.mp4_uca_nw01(52, 85)","(65, 74)",90
"GP010016_fast.mp4_uca_nw01(52, 85)","(66, 69)",91
"GP010016_fast.mp4_uca_nw01(52, 85)","(66, 69)",92
"GP010016_fast.mp4_uca_nw01(52, 85)","(67, 68)",93
"GP010016_fast.mp4_uca_nw01(52, 85)","(66, 65)",94
"GP010016_fast.mp4_uca_nw01(52, 85)","(69, 67)",95
"GP010016_fast.mp4_uca_nw01(52, 85)","(68, 63)",96
"GP010016_fast.mp4_uca_nw01(52, 85)","(69, 63)",97
"GP010016_fast.mp4_uca_nw01(52, 85)","(66, 61)",98
"GP010016_fast.mp4_uca_nw01(52, 85)","(67, 61)",99
"GP010016_fast.mp4_uca_nw01(52, 85)","(71, 62)",100
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 62)",101
"GP010016_fast.mp4_uca_nw01(52, 85)","(72, 62)",102
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 58)",103
"GP010016_fast.mp4_uca_nw01(52, 85)","(73, 59)",104
"GP010016_fast.mp4_uca_nw01(52, 85)","(76, 60)",105
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 60)",106
"GP010016_fast.mp4_uca_nw01(52, 85)","(81, 60)",107
"GP010016_fast.mp4_uca_nw01(52, 85)","(80, 59)",108
"GP010016_fast.mp4_uca_nw01(52, 85)","(84, 64)",109
"GP010016_fast.mp4_uca_nw01(52, 85)","(85, 66)",110
"GP010016_fast.mp4_uca_nw01(52, 85)","(87, 61)",111
"GP010016_fast.mp4_uca_nw01(52, 85)","(81, 61)",112
"GP010016_fast.mp4_uca_nw01(52, 85)","(86, 66)",113
"GP010016_fast.mp4_uca_nw01(52, 85)","(87, 65)",114
"GP010016_fast.mp4_uca_nw01(52, 85)","(83, 62)",115
"GP010016_fast.mp4_uca_nw01(52, 85)","(80, 59)",116
"GP010016_fast.mp4_uca_nw01(52, 85)","(80, 60)",117
"GP010016_fast.mp4_uca_nw01(52, 85)","(80, 60)",118
"GP010016_fast.mp4_uca_nw01(52, 85)","(81, 58)",119
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 60)",120
"GP010016_fast.mp4_uca_nw01(52, 85)","(81, 53)",121
"GP010016_fast.mp4_uca_nw01(52, 85)","(80, 56)",122
"GP010016_fast.mp4_uca_nw01(52, 85)","(82, 54)",123
"GP010016_fast.mp4_uca_nw01(52, 85)","(80, 51)",124
"GP010016_fast.mp4_uca_nw01(52, 85)","(74, 47)",125
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 46)",126
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 46)",127
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 45)",128
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 45)",129
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 46)",130
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 44)",131
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 43)",132
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 43)",133
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 43)",134
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 46)",135
"GP010016_fast.mp4_uca_nw01(52, 85)","(79, 47)",136
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 44)",137
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 43)",138
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 46)",139
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 44)",140
"GP010016_fast.mp4_uca_nw01(52, 85)","(76, 44)",141
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 44)",142
"GP010016_fast.mp4_uca_nw01(52, 85)","(76, 44)",143
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 45)",144
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 44)",145
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 44)",146
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 44)",147
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 44)",148
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 43)",149
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 44)",150
"GP010016_fast.mp4_uca_nw01(52, 85)","(78, 44)",151
"GP010016_fast.mp4_uca_nw01(52, 85)","(77, 44)",152
