file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,1820,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x11542cf30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_cc01(291, 205)","(279, 211)",85
"GP010016_fast.mp4_uca_cc01(291, 205)","(278, 211)",86
"GP010016_fast.mp4_uca_cc01(291, 205)","(277, 213)",87
"GP010016_fast.mp4_uca_cc01(291, 205)","(276, 213)",88
"GP010016_fast.mp4_uca_cc01(291, 205)","(277, 212)",89
"GP010016_fast.mp4_uca_cc01(291, 205)","(277, 212)",90
"GP010016_fast.mp4_uca_cc01(291, 205)","(277, 213)",91
"GP010016_fast.mp4_uca_cc01(291, 205)","(276, 213)",92
"GP010016_fast.mp4_uca_cc01(291, 205)","(275, 213)",93
"GP010016_fast.mp4_uca_cc01(291, 205)","(276, 214)",94
"GP010016_fast.mp4_uca_cc01(291, 205)","(275, 211)",95
"GP010016_fast.mp4_uca_cc01(291, 205)","(275, 212)",96
"GP010016_fast.mp4_uca_cc01(291, 205)","(275, 212)",97
"GP010016_fast.mp4_uca_cc01(291, 205)","(275, 212)",98
"GP010016_fast.mp4_uca_cc01(291, 205)","(275, 214)",99
"GP010016_fast.mp4_uca_cc01(291, 205)","(275, 214)",100
"GP010016_fast.mp4_uca_cc01(291, 205)","(275, 214)",101
"GP010016_fast.mp4_uca_cc01(291, 205)","(275, 213)",102
"GP010016_fast.mp4_uca_cc01(291, 205)","(276, 215)",103
"GP010016_fast.mp4_uca_cc01(291, 205)","(275, 213)",104
"GP010016_fast.mp4_uca_cc01(291, 205)","(275, 218)",105
"GP010016_fast.mp4_uca_cc01(291, 205)","(277, 216)",106
"GP010016_fast.mp4_uca_cc01(291, 205)","(275, 214)",107
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 218)",108
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 214)",109
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 216)",110
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 215)",111
"GP010016_fast.mp4_uca_cc01(291, 205)","(271, 216)",112
"GP010016_fast.mp4_uca_cc01(291, 205)","(271, 216)",113
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 215)",114
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 216)",115
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 217)",116
"GP010016_fast.mp4_uca_cc01(291, 205)","(271, 217)",117
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 216)",118
"GP010016_fast.mp4_uca_cc01(291, 205)","(273, 217)",119
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 218)",120
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 218)",121
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 218)",122
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 216)",123
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 218)",124
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 218)",125
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 219)",126
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 217)",127
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 218)",128
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 218)",129
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 217)",130
"GP010016_fast.mp4_uca_cc01(291, 205)","(274, 217)",131
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 216)",132
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 218)",133
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 218)",134
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 218)",135
"GP010016_fast.mp4_uca_cc01(291, 205)","(272, 218)",136
"GP010016_fast.mp4_uca_cc01(291, 205)","(271, 218)",137
"GP010016_fast.mp4_uca_cc01(291, 205)","(271, 218)",138
"GP010016_fast.mp4_uca_cc01(291, 205)","(271, 218)",139
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 219)",140
"GP010016_fast.mp4_uca_cc01(291, 205)","(271, 217)",141
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 219)",142
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 219)",143
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 219)",144
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 219)",145
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 219)",146
"GP010016_fast.mp4_uca_cc01(291, 205)","(267, 216)",147
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 219)",148
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 218)",149
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 218)",150
"GP010016_fast.mp4_uca_cc01(291, 205)","(269, 217)",151
"GP010016_fast.mp4_uca_cc01(291, 205)","(271, 219)",152
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 219)",153
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 218)",154
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 219)",155
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 218)",156
"GP010016_fast.mp4_uca_cc01(291, 205)","(271, 217)",157
"GP010016_fast.mp4_uca_cc01(291, 205)","(270, 219)",158
