file_name,processed_at_date,processed_at_time,length_video,fps_video,target_frame_used,vertice_1,vertice_2,vertice_3,vertice_4,projected_q_side,q_factor_distance,tracker_method
GP010016_fast.mp4,18112018,2356,1928.0,23.976023976023978,1,"(628, 105)","(946, 302)","(264, 393)","(559, 698)",464,0.10775862068965517,<TrackerMIL 0x110f5ff30>
"
"
Crab_ID,Crab_Position,Crab_frame
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",83
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",84
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",85
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",86
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",87
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",88
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 393)",89
"GP010016_fast.mp4_uca_ccl01(232, 391)","(252, 393)",90
"GP010016_fast.mp4_uca_ccl01(232, 391)","(254, 391)",91
"GP010016_fast.mp4_uca_ccl01(232, 391)","(254, 391)",92
"GP010016_fast.mp4_uca_ccl01(232, 391)","(252, 389)",93
"GP010016_fast.mp4_uca_ccl01(232, 391)","(254, 391)",94
"GP010016_fast.mp4_uca_ccl01(232, 391)","(252, 389)",95
"GP010016_fast.mp4_uca_ccl01(232, 391)","(251, 385)",96
"GP010016_fast.mp4_uca_ccl01(232, 391)","(252, 388)",97
"GP010016_fast.mp4_uca_ccl01(232, 391)","(251, 389)",98
"GP010016_fast.mp4_uca_ccl01(232, 391)","(246, 384)",99
"GP010016_fast.mp4_uca_ccl01(232, 391)","(243, 385)",100
"GP010016_fast.mp4_uca_ccl01(232, 391)","(242, 384)",101
"GP010016_fast.mp4_uca_ccl01(232, 391)","(252, 385)",102
"GP010016_fast.mp4_uca_ccl01(232, 391)","(241, 386)",103
"GP010016_fast.mp4_uca_ccl01(232, 391)","(242, 379)",104
"GP010016_fast.mp4_uca_ccl01(232, 391)","(239, 380)",105
"GP010016_fast.mp4_uca_ccl01(232, 391)","(245, 379)",106
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 379)",107
"GP010016_fast.mp4_uca_ccl01(232, 391)","(242, 377)",108
"GP010016_fast.mp4_uca_ccl01(232, 391)","(255, 383)",109
"GP010016_fast.mp4_uca_ccl01(232, 391)","(254, 379)",110
"GP010016_fast.mp4_uca_ccl01(232, 391)","(258, 377)",111
"GP010016_fast.mp4_uca_ccl01(232, 391)","(245, 378)",112
"GP010016_fast.mp4_uca_ccl01(232, 391)","(258, 376)",113
"GP010016_fast.mp4_uca_ccl01(232, 391)","(247, 379)",114
"GP010016_fast.mp4_uca_ccl01(232, 391)","(254, 382)",115
"GP010016_fast.mp4_uca_ccl01(232, 391)","(254, 381)",116
"GP010016_fast.mp4_uca_ccl01(232, 391)","(242, 375)",117
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 379)",118
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 380)",119
"GP010016_fast.mp4_uca_ccl01(232, 391)","(254, 381)",120
"GP010016_fast.mp4_uca_ccl01(232, 391)","(257, 382)",121
"GP010016_fast.mp4_uca_ccl01(232, 391)","(253, 381)",122
"GP010016_fast.mp4_uca_ccl01(232, 391)","(257, 383)",123
"GP010016_fast.mp4_uca_ccl01(232, 391)","(245, 376)",124
"GP010016_fast.mp4_uca_ccl01(232, 391)","(247, 378)",125
"GP010016_fast.mp4_uca_ccl01(232, 391)","(245, 378)",126
"GP010016_fast.mp4_uca_ccl01(232, 391)","(247, 376)",127
"GP010016_fast.mp4_uca_ccl01(232, 391)","(247, 377)",128
"GP010016_fast.mp4_uca_ccl01(232, 391)","(257, 382)",129
"GP010016_fast.mp4_uca_ccl01(232, 391)","(246, 376)",130
"GP010016_fast.mp4_uca_ccl01(232, 391)","(252, 379)",131
"GP010016_fast.mp4_uca_ccl01(232, 391)","(248, 378)",132
"GP010016_fast.mp4_uca_ccl01(232, 391)","(247, 376)",133
"GP010016_fast.mp4_uca_ccl01(232, 391)","(245, 375)",134
"GP010016_fast.mp4_uca_ccl01(232, 391)","(249, 379)",135
"GP010016_fast.mp4_uca_ccl01(232, 391)","(245, 378)",136
"GP010016_fast.mp4_uca_ccl01(232, 391)","(246, 376)",137
"GP010016_fast.mp4_uca_ccl01(232, 391)","(243, 376)",138
"GP010016_fast.mp4_uca_ccl01(232, 391)","(242, 378)",139
"GP010016_fast.mp4_uca_ccl01(232, 391)","(257, 383)",140
"GP010016_fast.mp4_uca_ccl01(232, 391)","(249, 376)",141
"GP010016_fast.mp4_uca_ccl01(232, 391)","(243, 375)",142
"GP010016_fast.mp4_uca_ccl01(232, 391)","(245, 375)",143
"GP010016_fast.mp4_uca_ccl01(232, 391)","(254, 380)",144
"GP010016_fast.mp4_uca_ccl01(232, 391)","(257, 383)",145
"GP010016_fast.mp4_uca_ccl01(232, 391)","(259, 379)",146
"GP010016_fast.mp4_uca_ccl01(232, 391)","(257, 381)",147
"GP010016_fast.mp4_uca_ccl01(232, 391)","(250, 377)",148
"GP010016_fast.mp4_uca_ccl01(232, 391)","(257, 383)",149
"GP010016_fast.mp4_uca_ccl01(232, 391)","(257, 380)",150
"GP010016_fast.mp4_uca_ccl01(232, 391)","(257, 380)",151
"GP010016_fast.mp4_uca_ccl01(232, 391)","(258, 376)",152
"GP010016_fast.mp4_uca_ccl01(232, 391)","(250, 375)",153
"GP010016_fast.mp4_uca_ccl01(232, 391)","(258, 379)",154
"GP010016_fast.mp4_uca_ccl01(232, 391)","(245, 372)",155
"GP010016_fast.mp4_uca_ccl01(232, 391)","(250, 376)",156
"GP010016_fast.mp4_uca_ccl01(232, 391)","(245, 378)",157
"GP010016_fast.mp4_uca_ccl01(232, 391)","(256, 380)",158
"GP010016_fast.mp4_uca_ccl01(232, 391)","(248, 375)",159
"GP010016_fast.mp4_uca_ccl01(232, 391)","(240, 376)",160
"GP010016_fast.mp4_uca_ccl01(232, 391)","(244, 370)",161
"GP010016_fast.mp4_uca_ccl01(232, 391)","(241, 376)",162
"GP010016_fast.mp4_uca_ccl01(232, 391)","(248, 374)",163
"GP010016_fast.mp4_uca_ccl01(232, 391)","(236, 374)",164
"GP010016_fast.mp4_uca_ccl01(232, 391)","(238, 373)",165
"GP010016_fast.mp4_uca_ccl01(232, 391)","(237, 369)",166
"GP010016_fast.mp4_uca_ccl01(232, 391)","(243, 369)",167
"GP010016_fast.mp4_uca_ccl01(232, 391)","(245, 371)",168
"GP010016_fast.mp4_uca_ccl01(232, 391)","(241, 367)",169
"GP010016_fast.mp4_uca_ccl01(232, 391)","(244, 369)",170
"GP010016_fast.mp4_uca_ccl01(232, 391)","(250, 361)",171
"GP010016_fast.mp4_uca_ccl01(232, 391)","(252, 363)",172
"GP010016_fast.mp4_uca_ccl01(232, 391)","(244, 364)",173
"GP010016_fast.mp4_uca_ccl01(232, 391)","(243, 362)",174
"GP010016_fast.mp4_uca_ccl01(232, 391)","(244, 366)",175
"GP010016_fast.mp4_uca_ccl01(232, 391)","(261, 369)",176
"GP010016_fast.mp4_uca_ccl01(232, 391)","(259, 371)",177
"GP010016_fast.mp4_uca_ccl01(232, 391)","(267, 360)",178
"GP010016_fast.mp4_uca_ccl01(232, 391)","(263, 368)",179
"GP010016_fast.mp4_uca_ccl01(232, 391)","(263, 366)",180
"GP010016_fast.mp4_uca_ccl01(232, 391)","(265, 363)",181
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 365)",182
"GP010016_fast.mp4_uca_ccl01(232, 391)","(266, 362)",183
"GP010016_fast.mp4_uca_ccl01(232, 391)","(265, 361)",184
"GP010016_fast.mp4_uca_ccl01(232, 391)","(266, 356)",185
"GP010016_fast.mp4_uca_ccl01(232, 391)","(266, 356)",186
"GP010016_fast.mp4_uca_ccl01(232, 391)","(265, 362)",187
"GP010016_fast.mp4_uca_ccl01(232, 391)","(269, 359)",188
"GP010016_fast.mp4_uca_ccl01(232, 391)","(266, 357)",189
"GP010016_fast.mp4_uca_ccl01(232, 391)","(263, 358)",190
"GP010016_fast.mp4_uca_ccl01(232, 391)","(268, 355)",191
"GP010016_fast.mp4_uca_ccl01(232, 391)","(268, 355)",192
"GP010016_fast.mp4_uca_ccl01(232, 391)","(267, 358)",193
"GP010016_fast.mp4_uca_ccl01(232, 391)","(268, 354)",194
"GP010016_fast.mp4_uca_ccl01(232, 391)","(266, 353)",195
"GP010016_fast.mp4_uca_ccl01(232, 391)","(268, 352)",196
"GP010016_fast.mp4_uca_ccl01(232, 391)","(267, 358)",197
"GP010016_fast.mp4_uca_ccl01(232, 391)","(267, 355)",198
"GP010016_fast.mp4_uca_ccl01(232, 391)","(269, 357)",199
"GP010016_fast.mp4_uca_ccl01(232, 391)","(267, 355)",200
"GP010016_fast.mp4_uca_ccl01(232, 391)","(266, 357)",201
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 356)",202
"GP010016_fast.mp4_uca_ccl01(232, 391)","(265, 357)",203
"GP010016_fast.mp4_uca_ccl01(232, 391)","(266, 356)",204
"GP010016_fast.mp4_uca_ccl01(232, 391)","(266, 354)",205
"GP010016_fast.mp4_uca_ccl01(232, 391)","(266, 355)",206
"GP010016_fast.mp4_uca_ccl01(232, 391)","(265, 351)",207
"GP010016_fast.mp4_uca_ccl01(232, 391)","(268, 357)",208
"GP010016_fast.mp4_uca_ccl01(232, 391)","(265, 348)",209
"GP010016_fast.mp4_uca_ccl01(232, 391)","(262, 355)",210
"GP010016_fast.mp4_uca_ccl01(232, 391)","(268, 354)",211
"GP010016_fast.mp4_uca_ccl01(232, 391)","(262, 354)",212
"GP010016_fast.mp4_uca_ccl01(232, 391)","(268, 354)",213
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 357)",214
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 357)",215
"GP010016_fast.mp4_uca_ccl01(232, 391)","(266, 355)",216
"GP010016_fast.mp4_uca_ccl01(232, 391)","(265, 350)",217
"GP010016_fast.mp4_uca_ccl01(232, 391)","(263, 349)",218
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 352)",219
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 350)",220
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 352)",221
"GP010016_fast.mp4_uca_ccl01(232, 391)","(262, 350)",222
"GP010016_fast.mp4_uca_ccl01(232, 391)","(266, 351)",223
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 352)",224
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 352)",225
"GP010016_fast.mp4_uca_ccl01(232, 391)","(265, 348)",226
"GP010016_fast.mp4_uca_ccl01(232, 391)","(262, 349)",227
"GP010016_fast.mp4_uca_ccl01(232, 391)","(262, 347)",228
"GP010016_fast.mp4_uca_ccl01(232, 391)","(265, 347)",229
"GP010016_fast.mp4_uca_ccl01(232, 391)","(265, 350)",230
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 346)",231
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 345)",232
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 347)",233
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 343)",234
"GP010016_fast.mp4_uca_ccl01(232, 391)","(262, 353)",235
"GP010016_fast.mp4_uca_ccl01(232, 391)","(264, 346)",236
